SGN,3205,SIN,3316
SIN,3316,BKK,3885
SIN,3316,DRW,3999
SIN,3316,HAK,4120
SIN,3316,HGH,3386
SIN,3316,HKG,3077
SIN,3316,HKT,3179
SIN,3316,KUL,3304
SIN,3316,MNL,2397
SIN,3316,PEN,3308
SIN,3316,PER,3351
SIN,3316,PNH,3034
SIN,3316,REP,3035
SIN,3316,RGN,3239
SIN,3316,SGN,3205
SIN,3316,SWA,4302
SIN,3316,TPE,2276
SWA,4302,SIN,3316
TPE,2276,KIX,3992
TPE,2276,SIN,3316
ACH,1679,EBA,1558
DRS,338,ZRH,1678
DUS,345,FDH,382
EBA,1558,ACH,1679
EBA,1558,FDH,382
EBA,1558,MUC,346
EBA,1558,ZRH,1678
FDH,382,DUS,345
FDH,382,EBA,1558
FDH,382,HAM,342
FDH,382,OLB,1520
FDH,382,TXL,351
FDH,382,ZAD,1209
FMM,3986,NAP,1561
GRZ,1609,ZRH,1678
HAM,342,FDH,382
MUC,346,EBA,1558
NAP,1561,FMM,3986
OLB,1520,FDH,382
SZG,1612,ZRH,1678
TXL,351,FDH,382
ZAD,1209,FDH,382
ZRH,1678,DRS,338
ZRH,1678,EBA,1558
ZRH,1678,GRZ,1609
ZRH,1678,SZG,1612
ATL,3682,LWB,6958
ATL,3682,MCN,3754
ATL,3682,MEI,4335
ATL,3682,MSL,5756
ATL,3682,PIB,5759
ATL,3682,TUP,5773
BIM,1937,FLL,3533
ELH,1943,FLL,3533
ELH,1943,PBI,3722
EYW,3875,FLL,3533
EYW,3875,RSW,3793
EYW,3875,TPA,3646
FLL,3533,BIM,1937
FLL,3533,ELH,1943
FLL,3533,EYW,3875
FLL,3533,FPO,1948
FLL,3533,GGT,1941
FLL,3533,GHB,1944
FLL,3533,MCO,3878
FLL,3533,MHH,1930
FLL,3533,TCB,1934
FLL,3533,TPA,3646
FPO,1948,FLL,3533
GGT,1941,FLL,3533
GGT,1941,GHB,1944
GHB,1944,FLL,3533
GLH,6130,TUP,5773
GNV,3472,MCO,3878
GNV,3472,TPA,3646
JAX,3712,MHH,1930
JAX,3712,TPA,3646
LWB,6958,ATL,3682
MCN,3754,ATL,3682
MCN,3754,MCO,3878
MCO,3878,FLL,3533
MCO,3878,GNV,3472
MCO,3878,MCN,3754
MCO,3878,MHH,1930
MCO,3878,PNS,3564
MCO,3878,RSW,3793
MCO,3878,TLH,3698
MEI,4335,ATL,3682
MHH,1930,FLL,3533
MHH,1930,JAX,3712
MHH,1930,MCO,3878
MHH,1930,PBI,3722
MSL,5756,ATL,3682
PBI,3722,ELH,1943
PBI,3722,MHH,1930
PBI,3722,TPA,3646
PIB,5759,ATL,3682
PNS,3564,MCO,3878
PNS,3564,TPA,3646
RSW,3793,EYW,3875
RSW,3793,MCO,3878
TCB,1934,FLL,3533
TLH,3698,MCO,3878
TLH,3698,TPA,3646
TPA,3646,EYW,3875
TPA,3646,FLL,3533
TPA,3646,GNV,3472
TPA,3646,JAX,3712
TPA,3646,PBI,3722
TPA,3646,PNS,3564
TPA,3646,TLH,3698
TUP,5773,ATL,3682
TUP,5773,GLH,6130
AMS,580,NDR,5673
AMS,580,TNG,1080
BCN,1218,CMN,1074
BCN,1218,NDR,5673
BCN,1218,TNG,1080
BGY,1525,CMN,1074
BLQ,1538,CMN,1074
BRU,302,CMN,1074
BRU,302,NDR,5673
BRU,302,TNG,1080
CGN,344,NDR,5673
CMN,1074,BCN,1218
CMN,1074,BGY,1525
CMN,1074,BLQ,1538
CMN,1074,BRU,302
CMN,1074,CUF,1534
CMN,1074,LGW,502
CMN,1074,LYS,1335
CMN,1074,MPL,1359
CMN,1074,SAW,4317
CMN,1074,TLS,1273
CMN,1074,TSF,1539
CUF,1534,CMN,1074
FEZ,1066,MPL,1359
LGW,502,CMN,1074
LGW,502,TNG,1080
LYS,1335,CMN,1074
MPL,1359,CMN,1074
MPL,1359,FEZ,1066
MPL,1359,NDR,5673
NDR,5673,AMS,580
NDR,5673,BCN,1218
NDR,5673,BRU,302
NDR,5673,CGN,344
NDR,5673,MPL,1359
NDR,5673,PMI,3998
PMI,3998,NDR,5673
SAW,4317,CMN,1074
TLS,1273,CMN,1074
